2026-06-12 13:02:27,Office Page,GetOffices,pq: function public.f_get_office() does not exist at column 16 (42883)
2026-06-12 13:02:28,Office Page,GetOffices,pq: function public.f_get_office() does not exist at column 16 (42883)
2026-06-12 13:02:30,Office Page,GetOffices,pq: function public.f_get_office() does not exist at column 16 (42883)
2026-06-12 13:03:19,Office Page,GetOfficeList,EOF
2026-06-12 13:03:19,Office Page,GetOfficeList,EOF
2026-06-12 13:03:21,Office Page,GetOffices,pq: function public.f_get_office() does not exist at column 16 (42883)
2026-06-12 13:03:23,Office Page,GetOffices,pq: function public.f_get_office() does not exist at column 16 (42883)
2026-06-12 13:04:30,Office Page,GetOfficeList,EOF
2026-06-12 13:04:30,Office Page,GetOfficeList,EOF
2026-06-12 13:07:23,Office Page,GetOfficeList,EOF
2026-06-12 13:07:23,Office Page,GetOfficeList,EOF
2026-06-12 13:15:33,Office Page,GetOfficeList,EOF
2026-06-12 13:15:33,Office Page,GetOfficeList,EOF
2026-06-12 13:24:42,Office Page,GetOfficeList,"pq: column reference ""office_level_id"" is ambiguous (42702)"
2026-06-12 13:24:42,Office Page,GetOfficeList,"pq: column reference ""office_level_id"" is ambiguous (42702)"
2026-06-12 13:24:47,Office Page,GetOfficeList,"pq: column reference ""office_level_id"" is ambiguous (42702)"
2026-06-12 13:24:48,Office Page,GetOfficeList,"pq: column reference ""office_level_id"" is ambiguous (42702)"
2026-06-12 13:30:51,Office Page,GetOffices,pq: function public.f_get_office(unknown) does not exist at column 16 (42883)
2026-06-12 13:30:53,Office Page,GetOffices,pq: function public.f_get_office(unknown) does not exist at column 16 (42883)
2026-06-12 13:35:08,Office Page,GetOfficeList,"sql: Scan error on column index 10, name ""nodel_name"": converting NULL to string is unsupported"
2026-06-12 13:35:08,Office Page,GetOfficeList,"sql: Scan error on column index 10, name ""nodel_name"": converting NULL to string is unsupported"
